iata,airport,city,state,country,lat,long,fullname
ICN,Incheon International,Seoul,Seoul,Korea,37.469101,126.4509964,"Incheon International, Seoul, Korea"
MEL,Melbourne International,Melbourne,Melbourne,Australia,-37.6733017,144.8430023,"Melbourne International, Melbourne, Australia"
PUS,Gimhae International,Busan,Busan,Korea,35.1795006,128.9380035,"Gimhae International, Busan, Korea"
CMN,Mohammed V International,Casablanca,Casablanca,Morocco,33.3675003,-7.5899701,"Mohammed V International, Casablanca, Morocco"
HKG,Chek Lap Kok International,Hong Kong,Hong Kong,Hong Kong,22.3089008,113.9150009,"Chek Lap Kok International, Hong Kong, Hong Kong"
BKK,Suvarnabhumi Airport,Samut Prakan,Samut Prakan,Thailand,13.6810999,100.7470016,"Suvarnabhumi Airport, Samut Prakan, Thailand"
PEK,Beijing Capital International,Beijing,Beijing,China,40.080101,116.5849991,"Beijing Capital International, Beijing, China"
KIX,Kansai International,Osaka,Osaka,Japan,34.4272995,135.2440033,"Kansai International, Osaka, Japan"
NRT,Narita International,Tokyo,Tokyo,Japan,35.7647018,140.3860016,"Narita International, Tokyo, Japan"
GMP,Gimpo International,Seoul,Seoul,Korea,37.5583,126.7910004,"Gimpo International, Seoul, Korea"
FUK,Fukuoka Airport,Fukuoka,Fukuoka,Japan,33.5858994,130.451004,"Fukuoka Airport, Fukuoka, Japan"
KUL,Kuala Lumpur International,Kuala Lumpur,Kuala Lumpur,Malaysia,2.74558,101.7099991,"Kuala Lumpur International, Kuala Lumpur, Malaysia"
DOH,Hamad International,Doha,Doha,Qatar,25.2620449,51.6130829,"Hamad International, Doha, Qatar"
CJU,Jeju International,Jeju,Jeju,Korea,33.5112991,126.4929962,"Jeju International, Jeju, Korea"
TPE,Taiwan Taoyuan International,Taipei,Taipei,Taiwan,25.0776997,121.2330017,"Taiwan Taoyuan International, Taipei, Taiwan"
SYD,Sydney Kingsford Smith International,Sydney,Sydney,Australia,-33.9460983,151.177002,"Sydney Kingsford Smith International, Sydney, Australia"