start_lat,start_lon,end_lat,end_lon,airport1,airport2
37.469101,126.4509964,2.74558,101.7099991,ICN,KUL
2.74558,101.7099991,-37.6733017,144.8430023,KUL,MEL
37.469101,126.4509964,-33.9460983,151.177002,ICN,SYD
35.1795006,128.9380035,37.5583,126.7910004,PUS,GMP
35.1795006,128.9380035,33.5112991,126.4929962,PUS,CJU
35.1795006,128.9380035,22.3089008,113.9150009,PUS,HKG
37.469101,126.4509964,22.3089008,113.9150009,ICN,HKG
37.469101,126.4509964,33.5858994,130.451004,ICN,FUK
37.469101,126.4509964,25.0776997,121.2330017,ICN,TPE
37.469101,126.4509964,35.7647018,140.3860016,ICN,NRT
37.469101,126.4509964,34.4272995,135.2440033,ICN,KIX
37.469101,126.4509964,25.2620449,51.6130829,ICN,DOH
25.2620449,51.6130829,33.3675003,-7.5899701,DOH,CMN
35.1795006,128.9380035,40.080101,116.5849991,PUS,PEK
35.1795006,128.9380035,13.6810999,100.7470016,PUS,BKK